Frame,Timestamp,ObjectID,Label,Distance(m)
493,11:43:50,12,person,3.14
493,11:43:50,17,person,3.13
494,11:43:50,12,person,3.14
494,11:43:50,17,person,3.12
495,11:43:51,12,person,3.15
495,11:43:51,17,person,3.13
496,11:43:51,12,person,3.13
496,11:43:51,17,person,3.11
497,11:43:51,12,person,3.16
497,11:43:51,17,person,3.14
498,11:43:51,12,person,3.21
498,11:43:51,17,person,3.21
499,11:43:51,12,person,3.19
499,11:43:51,17,person,3.18
500,11:43:51,12,person,3.18
501,11:43:52,12,person,3.18
501,11:43:52,17,person,3.17
502,11:43:52,12,person,3.17
502,11:43:52,17,person,3.16
503,11:43:52,17,person,3.16
504,11:43:52,17,person,3.13
504,11:43:52,12,person,3.15
505,11:43:52,17,person,3.09
506,11:43:52,17,person,3.09
506,11:43:52,12,person,3.1
507,11:43:52,12,person,3.07
508,11:43:53,12,person,3.06
509,11:43:53,17,person,3.04
510,11:43:53,17,person,3.02
510,11:43:53,12,person,3.03
511,11:43:53,12,person,3.0
512,11:43:53,12,person,3.06
512,11:43:53,17,person,3.04
513,11:43:53,12,person,3.13
513,11:43:53,17,person,3.12
514,11:43:54,12,person,3.17
515,11:43:54,12,person,3.16
516,11:43:54,12,person,3.1
517,11:43:54,12,person,3.11
517,11:43:54,17,person,3.14
518,11:43:54,12,person,3.12
518,11:43:54,17,person,3.12
519,11:43:54,12,person,3.12
519,11:43:54,17,person,3.11
520,11:43:54,12,person,3.12
520,11:43:54,17,person,3.1
521,11:43:55,12,person,3.13
521,11:43:55,17,person,3.12
522,11:43:55,12,person,3.12
522,11:43:55,17,person,3.12
523,11:43:55,12,person,3.13
523,11:43:55,17,person,3.13
524,11:43:55,12,person,3.14
524,11:43:55,17,person,3.14
525,11:43:55,12,person,3.14
525,11:43:55,17,person,3.14
526,11:43:55,12,person,3.13
526,11:43:55,17,person,3.13
527,11:43:55,17,person,3.04
528,11:43:56,17,person,2.98
528,11:43:56,12,person,3.06
529,11:43:56,17,person,3.04
530,11:43:56,12,person,3.12
531,11:43:56,12,person,3.18
532,11:43:56,12,person,3.21
533,11:43:56,12,person,3.22
534,11:43:56,12,person,3.25
535,11:43:57,12,person,3.25
